Course,Section,L,Course Name,Enrolled,Credits,Days,Times,Rooms,Instructor
ECON-6027,120,,ECONOMIA GERENCIAL,26,3,W,6:00 pm - 8:50 pm, ,Jeffrey Valentin Mari 
ESTA-3001,40,,ESTADISTICA PARA NEGOCIOS I,28,3,L,10:00 am - 11:50 am,AE-302,Rosario Ortiz Rodriguez 
ESTA-3001,66,,ESTADISTICA PARA NEGOCIOS I,29,3,MJ,12:00 pm - 1:50 pm,AE-102,Roberto Rivera Santiago 
ESTA-3001,71,,ESTADISTICA PARA NEGOCIOS I,28,3,L,1:00 pm - 2:50 pm,AE-303,David Munoz Gonzalez 
ESTA-3001,106,,ESTADISTICA PARA NEGOCIOS I,51,3,MJ,4:00 pm - 5:50 pm,AE-203C,Roberto Rivera Santiago 
ESTA-6005,126,,ESTADISTICA GERENCIAL,20,3,J,6:00 pm - 8:50 pm,AE-302,Mario Cordova Claudio 
FINA-3016,60,,ANALISIS DE NEGOCIOS UTILIZANDO INFORMES FINANCIEROS,33,4,LW,12:00 pm - 1:50 pm,AE-302,Juan De Jesus Medina 
FINA-3016,80,,ANALISIS DE NEGOCIOS UTILIZANDO INFORMES FINANCIEROS,41,4,LW,2:00 pm - 3:50 pm,AE-203C,Juan De Jesus Medina 
FINA-3016,81,,ANALISIS DE NEGOCIOS UTILIZANDO INFORMES FINANCIEROS,33,4,LW,2:00 pm - 3:50 pm,AE-407,Ana Martin Quinones 
FINA-3016,96,,ANALISIS DE NEGOCIOS UTILIZANDO INFORMES FINANCIEROS,33,4,MJ,3:00 pm - 4:50 pm,AE-403,Juan De Jesus Medina 
FINA-3017,16,,"MONEDA, BANCA Y CONDICIONES ECONOMICAS",34,3,MJ,7:00 am - 8:15 am,AE-402,Evaluz Cotto Quijano 
FINA-3017,50,H,"MONEDA, BANCA Y CONDICIONES ECONOMICAS",34,3,LWV,11:00 am - 11:50 am,AE-404,Evaluz Cotto Quijano 
FINA-3017,80,H,"MONEDA, BANCA Y CONDICIONES ECONOMICAS",34,3,LWV,2:00 pm - 2:50 pm,AE-402,Evaluz Cotto Quijano 
FINA-3035,96,,MANEJO DE LAS FINANZAS PERSONALES,34,3,MJ,3:00 pm - 4:15 pm,AE-406,Yolanda Ruiz Vargas 
FINA-4036,70,,ADMINISTRACION DE INSTITUCIONES FINANCIERAS,30,3,LWV,1:00 pm - 1:50 pm,AE-402,Evaluz Cotto Quijano 
FINA-4037,106,,INVESIONES,35,3,MJ,4:30 pm - 5:45 pm,AE-406,Yolanda Ruiz Vargas 
FINA-4040,76,,TENDENCIAS CONTEMPORANEAS EN EL CAMPO FINANCIERO,28,3,MJ,1:30 pm - 2:45 pm,AE-406,Yolanda Ruiz Vargas 
FINA-4995,1,#,INTERNADO EN FINANZAS,6,0, , , ,Karen Cotto Quijano 
FINA-4995,2,#,INTERNADO EN FINANZAS,6,0, , , ,Karen Cotto Quijano 
FINA-6017,120,,ANALISIS DE INVERSION Y CARTERA DE VALORES,17,3,L,6:00 pm - 8:50 pm,AE-237,Yolanda Ruiz Vargas 
FINA-6025,126,,ADMINISTRACION DE INSTITUCIONES FINANCIERAS,17,3,J,6:00 pm - 8:50 pm,AE-303,Evaluz Cotto Quijano 
GEIN-6005,120,,DISTRIBUCION FISICA Y LOGISTICA,17,3,W,6:00 pm - 8:50 pm,AE-302,Roberto Seijo Vidal 
GEIN-6047,120,,ADMINISTRACION DE MATERIALES Y COMPRAS,1,3,W,6:00 pm - 8:50 pm, ,Roberto Seijo Vidal 
